name,id
Darrell Issa,19463427992
Darsha Philips,1726249730934330
Dave Holmes 10TV,751518861620132
Dave Huddleston,73282863973
Dave Kinchen FOX 29,195473393932393
Dave Kunz,254109458119257
Dave Rexroth,174823969242696
Dave Salesky KATU,173991099319523
David Bach,59000888437
David Culver,115969548565754
David Earl KETV,421702701208237
David Finfrock NBC5,172212282917886
David Ham,536569623132590
David Kaplan WTAE,109233595918329
David Mazza,156314034514947
David Murphy,107388807520
David Novarro,259837597401331
David Ono,311289279073732
David Paul KHOU,213139635397807
David Schneider My NBC5,1596201997288176
David Schweikert,157652584384932
"David Sentendrey, FOX 46",1437336429814171
David Spunt News,142822749188595
David Whisenant WBTV,152546001533018
David Wilkinson 11Alive,333095463376153
David Zyla: Color Your Style,80397386404
Dawn Hasbrouck,10150094421075013
Dayna Devon,425707784132476
"Dean Ornish, MD",131659478210
Dean Richards WGN,132892692477
Debora Knapp-katu,380697955344089
Deborah Ferguson NBC5,271356662901882
Deborah Horne,526696717457856
Deborah Kafoury,213351258838764
Deborah Takahara,217624058260935
Debra Alfarone,134059333295938
Debra Denise,550401311780224
Deena Centofanti,111993302198518
Delia Goncalves,498663393488329
Demetrius Ivory,480629522028206
Denise Dador,303180306509101
Dennis Bounds,400316696690675
Dennis House,113467232042528
Dennis Welsh Fox 32,523743984356586
Derek Kevra Fox 2,220844888095581
Derek McGinty,156533391047271
Derick Waller,271904936252549
Derrick Ward,201402919878144
Derwin L. Gray,117534411600257
Devin Bartolotta,358376824298575
Devin Scillian,115563658471844
Diana Williams,604563753002744
Diane Henderiks,159850718087
Diane Macedo,172531309428293
Diane Pathieu ABC7,166067533555367
Dianna Russini,320210848004207
Dina Bair,117835768278912
Dion Lim,146674682074805
Dontaye Carter 11Alive,679834225491651
Dottie Herman,538847239464281
Doug Delony KHOU,489946731031807
Doug Hill,107622499269206
Dr. Christiane Northrup,118912795028
Dr. Ernie Ward,124497490245
Dr. Greg Forbes,274894418200
Dr. Jim Siebert FOX 26 News,285097891543373
Dr. Lucy Jones,21665105761
Drew Carney (KGW-TV),169402189792369
Dustin Bonk,1396056937303223
Edythe Kirchmaier,470084376372759
Eileen Frere,712472845484080
Eileen Park,329959443761346
Eileen Whelan,155935567818105
Elex Michaelson,346569862158312
Elita Loresca,413158342202274
Elizabeth Matthews Fox 32 Chicago,1439521809688769
Elizabeth Noreika,300580126663409
Elizabeth Vargas,12015811042
Ellen Leyva,1454605871467274
Ellen Tailor,103537399703604
Elliot Abrams Fan Page,129327220459771
Elsa Ramon,157546081049209
Elyce Kirchner,175153509206447
Elyse Coulter,354328237934412
