name,id,category,url,include?,Twitter page,stats,stats_type
Ashley Jones WSVN,454762961275593,News Personality,http://facebook.com/454762961275593,Y,https://twitter.com/ajoneson7,,
Ashley Korslien,107082316138203,News Personality,http://facebook.com/107082316138203,Y,https://twitter.com/AshleyKorslien,,
Ashley Stroehlein,1463114260592588,Public Figure,http://facebook.com/1463114260592588,Y,https://twitter.com/ashstro,,
Ashley Yore,287398144641294,News Personality,http://facebook.com/287398144641294,Y,https://twitter.com/AshleyYore,,
Ashlie Hardway WTAE,177009019117183,Journalist,http://facebook.com/177009019117183,Y,https://twitter.com/AshlieWTAE,,
Ashton Altieri,427148524068394,News Personality,http://facebook.com/427148524068394,Y,https://twitter.com/AshtonCBS4,,
Associated Press,109042952456316,Author,http://facebook.com/109042952456316,N,,,
Astrid Martinez,108372442536950,Journalist,http://facebook.com/108372442536950,Y,https://twitter.com/astridtv1,,
Astronaut Karen Nyberg,583316525026417,Public Figure,http://facebook.com/583316525026417,Y,https://twitter.com/AstroKarenN,,
"Austin Bowling, 7News",1617167141893143,News Personality,http://facebook.com/1617167141893143,Y,https://twitter.com/AustinKSWO,,
Autria Godfrey,746186555429156,News Personality,http://facebook.com/746186555429156,Y,https://twitter.com/ABC7Autria,,
Ava-joye Burnett,202160339824187,News Personality,http://facebook.com/202160339824187,N,,,
Awesomely Luvvie,254991125404,Public Figure,http://facebook.com/254991125404,Y,https://twitter.com/Luvvie,,
Ayana Harry,119621304776397,News Personality,http://facebook.com/119621304776397,Y,https://twitter.com/AyanaHarry,,
B. Scott,52946962893,Public Figure,http://facebook.com/52946962893,N,,,
Barack Obama,6815841748,Politician,http://facebook.com/6815841748,N,,,
Barbara Ciara,1529699774013346,Journalist,http://facebook.com/1529699774013346,Y,https://twitter.com/CIARAWTKR,,
Barbara Lash,463972540399084,Journalist,http://facebook.com/463972540399084,Y,https://twitter.com/fox46barbara,,
Barbie Bassett WLBT,110941452293389,Public Figure,http://facebook.com/110941452293389,Y,https://twitter.com/BarbieBassettTV,,
Barra Best,130055917169627,Public Figure,http://facebook.com/130055917169627,Y,https://twitter.com/barrabest,,
Barry Butler Photography,532732413481028,Photographer,http://facebook.com/532732413481028,N,,,
Batdad,603370039706496,Public Figure,http://facebook.com/603370039706496,N,,,
Beau Bishop,117966861589434,News Personality,http://facebook.com/117966861589434,Y,https://twitter.com/BeauBishop,,
Beauty by Carli Bybel,259397254090031,Public Figure,http://facebook.com/259397254090031,N,,,
Becky Ditchfield,110256402366960,News Personality,http://facebook.com/110256402366960,Y,https://twitter.com/beckyditchfield,,
Belen De Leon,244803568903438,News Personality,http://facebook.com/244803568903438,Y,https://twitter.com/Belen_DeLeon,,
Belinda Jensen,193479540675136,News Personality,http://facebook.com/193479540675136,Y,https://twitter.com/BelindaKARE11,,
Ben Aaron,173749015991290,News Personality,http://facebook.com/173749015991290,Y,https://twitter.com/ben_aaron,,
Ben Bailey,196072710415893,News Personality,http://facebook.com/196072710415893,Y,https://twitter.com/BenLocal4,,
Ben Bradley ABC7,594277073920107,Journalist,http://facebook.com/594277073920107,Y,https://twitter.com/BenBradleyTV,,
Ben Garbarek,156641551143884,News Personality,http://facebook.com/156641551143884,Y,https://twitter.com/BenWSYX6,,
Ben Gelber,110764218963946,News Personality,http://facebook.com/110764218963946,Y,https://twitter.com/bgelber,,
Ben Hoover abc Columbia,1623469151245647,News Personality,http://facebook.com/1623469151245647,Y,https://twitter.com/benhoover,,
Ben Huh,189760752109,Public Figure,http://facebook.com/189760752109,N,,,
Ben Hutchison,274401379241146,News Personality,http://facebook.com/274401379241146,N,,,
Ben Roethlisberger,108248759196043,Athlete,http://facebook.com/108248759196043,N,,,
Ben Shapiro,203805062990264,News Personality,http://facebook.com/203805062990264,Y,https://twitter.com/benshapiro,,
Ben Williamson WBTV,416176041778672,Journalist,http://facebook.com/416176041778672,Y,https://twitter.com/benlwilliamson,,
