name	id	category  url
ABC13-Ilona Carson	165282483508091	Journalist	http://facebook.com/165282483508091
KPRC2 Dominique Sachse	114379945268535	Public Figure	http://facebook.com/114379945268535
Greg Hurst KHOU	133622966720504	Journalist	http://facebook.com/133622966720504
Chita Craft KHOU	253951957957191	News Personality	http://facebook.com/253951957957191
Greg Warmoth WFTV	667659816590532	News Personality	http://facebook.com/667659816590532
Katie McCall	822020134494162	News Personality	http://facebook.com/822020134494162
Natasha Barrett	204674976229232	Journalist	http://facebook.com/204674976229232
Jim Duncan NBC12	127705933965443	Public Figure	http://facebook.com/127705933965443
Candice Smith NBC12	563029343798987	News Personality	http://facebook.com/563029343798987
Katherine  Whaley	791254384258807	Journalist	http://facebook.com/791254384258807
Lily Jang KHOU	288511384536017	News Personality	http://facebook.com/288511384536017
Crystal Hefner	393909214008680	Public Figure	http://facebook.com/393909214008680
Stephanie Abrams	125943279594	News Personality	http://facebook.com/125943279594
Suzanne Boyd	125918697450431	News Personality	http://facebook.com/125918697450431
Lisa Hernandez KHOU	215341721861433	News Personality	http://facebook.com/215341721861433
Jamie Holmes WFTV	454494601317514	News Personality	http://facebook.com/454494601317514
Heather Sullivan NBC12	222777911070890	Journalist	http://facebook.com/222777911070890
Alexandra Wilson	445478968828842	News Personality	http://facebook.com/445478968828842
Danielle Panabaker	22134806791	Actor	http://facebook.com/22134806791
Meteorologist Tyler Mauldin	230686277006361	News Personality	http://facebook.com/230686277006361
Sarah Bloom NBC12	140521775977692	Journalist	http://facebook.com/140521775977692
Kyla Grogan	295965273853266	News Personality	http://facebook.com/295965273853266
Genevieve Morton	27420310542	Public Figure	http://facebook.com/27420310542
Maria LaRosa	110572388978042	News Personality	http://facebook.com/110572388978042
Crystal Egger	152813984736352	News Personality	http://facebook.com/152813984736352
Kelly Cass	180862429389	News Personality	http://facebook.com/180862429389
Jen Carfagno	305254869568	News Personality	http://facebook.com/305254869568
Kelly Avellino NBC12	302747923128773	News Personality	http://facebook.com/302747923128773
Kait Parker	192592867421217	Scientist	http://facebook.com/192592867421217
Rachel McCrary	704662012929396	News Personality	http://facebook.com/704662012929396
Steve Weagle	118650831509555	News Personality	http://facebook.com/118650831509555
Darby Douglas KHOU	1445778259006444	News Personality	http://facebook.com/1445778259006444
Liz Quirantes	371798596231281	News Personality	http://facebook.com/371798596231281
Shannon Murphy (Mojo In The Morning)	161601070521135	Public Figure	http://facebook.com/161601070521135
Maurielle Lue Fox 2 News	173623886069327	News Personality	http://facebook.com/173623886069327
Jason Carr	165560210157548	Public Figure	http://facebook.com/165560210157548
Meteorologist Lisa Vaughn Fox 26	601804873267351	News Personality	http://facebook.com/601804873267351
Ashleigh Walters	298437363634951	Journalist	http://facebook.com/298437363634951
Roxanne Stein	236767809717751	Journalist	http://facebook.com/236767809717751
Local 4 Karen Drew	113337845367554	Public Figure	http://facebook.com/113337845367554
Mojo In The Morning	6448603156	Public Figure	http://facebook.com/6448603156
Gino Vicci	120265041454545	Journalist	http://facebook.com/120265041454545
Amy Andrews FOX 2	160713977347438	News Personality	http://facebook.com/160713977347438
Meteorologist Keenan Smith	1707692226117007	News Personality	http://facebook.com/1707692226117007
Huel Perkins	100225546721287	Public Figure	http://facebook.com/100225546721287
Dave Rexroth	174823969242696	News Personality	http://facebook.com/174823969242696
Bethenny Frankel	43015918590	Public Figure	http://facebook.com/43015918590
Lisa Robertson	371337499698822	Public Figure	http://facebook.com/371337499698822
Vanessa Murdock	978337522208303	Journalist	http://facebook.com/978337522208303
Magdalena Doris	580316721990798	Journalist	http://facebook.com/580316721990798
Tracee Carrasco	113644215667324	Journalist	http://facebook.com/113644215667324
Bill Evans Meteorologist	1591715391041274	News Personality	http://facebook.com/1591715391041274
Willie Geist	1465831513678220	Journalist	http://facebook.com/1465831513678220
Alice Gainer	339397112610	Journalist	http://facebook.com/339397112610
Lonnie Quinn TV	157792574597914	Journalist	http://facebook.com/157792574597914
Kristine Johnson	1109023722454855	Journalist	http://facebook.com/1109023722454855
Lori Stokes	111055768917701	Public Figure	http://facebook.com/111055768917701
Kevin Hart	80500707044	Comedian	http://facebook.com/80500707044
